epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.187,0.94396,3.04287,1.27681,0.02644,0.97345,0.56363,0.40413,0.89719,3.34621,1.11217,0.000360324,0.000360324,0.000360324
2,252.852,0.92798,1.80649,1.28725,0.70907,0.65487,0.72868,0.5321,0.99884,2.31734,1.39645,0.000585987,0.000585987,0.000585987
3,382.978,0.90597,1.43175,1.2719,0.29432,0.45133,0.28503,0.16902,1.31029,2.85393,1.75105,0.000664999,0.000664999,0.000664999
4,521.279,0.87739,1.31562,1.2374,0.72824,0.75886,0.79959,0.59209,0.93231,1.63576,1.20262,0.000451066,0.000451066,0.000451066
5,665.776,0.84754,1.1899,1.19422,0.75049,0.7187,0.81508,0.62644,0.85091,1.53663,1.09745,0.000231088,0.000231088,0.000231088
