epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8766,0.79322,4.09559,1.07851,0.01681,0.75,0.08767,0.07972,0.55135,3.97119,0.8331,4.614e-05,4.614e-05,4.614e-05
2,44.2928,0.77472,3.80205,1.05841,0.03206,0.8,0.28871,0.24092,0.4176,3.87893,0.80428,9.89803e-05,9.89803e-05,9.89803e-05
3,65.8072,0.70354,3.44085,0.99554,0.07442,1,0.37748,0.33401,0.48761,3.85172,0.80572,0.000150755,0.000150755,0.000150755
4,87.056,0.72612,2.96052,0.99867,0.05922,1,0.57319,0.5158,0.45044,3.8081,0.79617,0.000201463,0.000201463,0.000201463
5,108.352,0.6986,2.71656,0.96041,0.03813,1,0.63053,0.55818,0.48009,3.74303,0.8091,0.000251106,0.000251106,0.000251106
6,129.69,0.74275,2.31241,0.98283,0.02928,1,0.5143,0.46883,0.48372,3.7129,0.81323,0.000299683,0.000299683,0.000299683
7,151.708,0.80419,2.22104,1.03533,0.0242,1,0.84583,0.76773,0.49336,3.55398,0.83819,0.000347194,0.000347194,0.000347194
8,173.936,0.78976,1.93994,0.97607,0.02325,1,0.995,0.90991,0.46805,3.43998,0.83445,0.00039364,0.00039364,0.00039364
9,196.571,0.73496,1.79,0.96858,0.95921,0.48977,0.995,0.85225,0.57987,3.10572,0.8545,0.000439019,0.000439019,0.000439019
10,218.557,0.76052,1.70367,0.99424,0.97289,0.52789,0.995,0.82427,0.6259,2.72392,0.87227,0.000483333,0.000483333,0.000483333
11,241.962,0.7448,1.57384,0.94947,0.86662,0.77705,0.995,0.8404,0.56992,2.61211,0.85714,0.00052658,0.00052658,0.00052658
12,265.131,0.6541,1.61924,0.93187,0.89436,0.79317,0.995,0.86374,0.55973,2.51822,0.84395,0.000568762,0.000568762,0.000568762
13,289.15,0.70012,1.52558,0.92792,0.85213,0.79441,0.995,0.85935,0.54862,2.36265,0.84726,0.000609879,0.000609879,0.000609879
